Date,Time
31/07/2023,05:36
01/08/2023,05:53
02/08/2023,05:30
03/08/2023,05:31
04/08/2023,06:02
04/08/2023,06:09
05/08/2023,05:19
05/08/2023,08:01
06/08/2023,07:17
07/08/2023,06:31
08/08/2023,06:31
09/08/2023,06:15
09/08/2023,06:16
09/08/2023,06:33
10/08/2023,06:18
11/08/2023,06:20
11/08/2023,06:41
11/08/2023,07:59
11/08/2023,07:59
12/08/2023,06:31
13/08/2023,06:32
13/08/2023,08:00
15/08/2023,06:31
16/08/2023,07:27
17/08/2023,06:30
18/08/2023,06:35
18/08/2023,09:49
19/08/2023,07:04
19/08/2023,08:39
20/08/2023,08:00
21/08/2023,06:01
21/08/2023,09:27
22/08/2023,06:04
22/08/2023,08:51
23/08/2023,06:05
23/08/2023,06:05
23/08/2023,06:05
24/08/2023,06:01
25/08/2023,05:54
26/08/2023,05:45
26/08/2023,08:51
27/08/2023,06:02
27/08/2023,07:12
28/08/2023,06:03
28/08/2023,06:26
29/08/2023,06:01
01/09/2023,06:19
04/09/2023,06:01
06/09/2023,06:04
06/09/2023,06:54
06/09/2023,06:55
07/09/2023,06:03
10/09/2023,06:04
12/09/2023,06:09
13/09/2023,06:05
13/09/2023,08:05
14/09/2023,06:01
15/09/2023,06:10
16/09/2023,07:19
17/09/2023,07:14
18/09/2023,06:00
18/09/2023,08:47
19/09/2023,06:03
20/09/2023,06:01
21/09/2023,06:01
22/09/2023,05:18
23/09/2023,05:42
23/09/2023,06:25
23/09/2023,08:54
23/09/2023,08:55
24/09/2023,06:30
25/09/2023,06:05
26/09/2023,06:10
26/09/2023,08:13
27/09/2023,06:18
27/09/2023,06:56
27/09/2023,08:02
02/10/2023,07:09
04/10/2023,06:16
04/10/2023,08:05
05/10/2023,06:17
06/10/2023,07:04
07/10/2023,06:41
08/10/2023,07:04
08/10/2023,08:13
09/10/2023,06:15
10/10/2023,06:20
12/10/2023,06:17
12/10/2023,08:43
13/10/2023,06:25
13/10/2023,06:46
14/10/2023,06:20
15/10/2023,07:46
16/10/2023,06:17
17/10/2023,06:02
18/10/2023,06:30
19/10/2023,06:17
25/10/2023,09:11
26/10/2023,06:23
27/10/2023,06:44
28/10/2023,06:33
29/10/2023,06:58
30/10/2023,06:24
30/10/2023,08:29
31/10/2023,06:35
01/11/2023,06:38
01/11/2023,06:38
02/11/2023,06:08
03/11/2023,06:21
04/11/2023,06:52
05/11/2023,06:44
06/11/2023,06:23
07/11/2023,06:53
08/11/2023,07:00
09/11/2023,04:02
14/11/2023,07:49
20/11/2023,06:20
21/11/2023,07:10
21/11/2023,07:11
22/11/2023,06:34
23/11/2023,06:35
24/11/2023,06:34
24/11/2023,06:42
25/11/2023,08:01
28/11/2023,06:06
29/11/2023,06:05
30/11/2023,06:06
01/12/2023,06:38
02/12/2023,06:45
04/12/2023,06:34
05/12/2023,06:33
06/12/2023,07:28
07/12/2023,06:33
08/12/2023,06:22
09/12/2023,07:40
11/12/2023,06:35
11/12/2023,06:46
12/12/2023,06:33
17/12/2023,07:41
18/12/2023,06:38
19/12/2023,07:28
20/12/2023,06:48
21/12/2023,07:40
22/12/2023,06:40
23/12/2023,07:03
23/12/2023,08:21
24/12/2023,08:44
25/12/2023,06:49
